Solution Type,lambda,f1,f2,f3,Index in Pareto Front
Pareto Front Solution 252,0.037327592980718666,0.802604449040724,0.016307811421397367,0.3829564496774397,252
Pareto Front Solution 253,0.26454379200878764,0.9750339622087911,0.00037436827155368804,0.0492894159974811,253
Pareto Front Solution 254,0.3982205513702136,0.9863010331208685,0.0001512613277901536,0.02706315077256468,254
Pareto Front Solution 255,0.48994059637868975,0.9905303494793725,9.06316973120242e-05,0.0187122806040692,255
Pareto Front Solution 256,0.2905563650784427,0.9780178592573533,0.0003065021086765403,0.043406216951787535,256
Pareto Front Solution 257,0.32659731454440044,0.9813847325679006,0.00023754226883793234,0.03676523687538875,257
Pareto Front Solution 258,0.12605836544204177,0.9396160385868496,0.0016761911519974123,0.11892776030573213,258
Pareto Front Solution 259,0.4277068269249094,0.9878550128459568,0.0001275282586339899,0.0239952619455102,259
Pareto Front Solution 260,0.4993074078346319,0.9908761503250298,8.622754108088938e-05,0.018029310720219516,260
Pareto Front Solution 261,0.012643159014212611,0.5539353218595969,0.09522030456358317,0.8079331704832153,261
Pareto Front Solution 262,0.8257695235720616,0.9980722090381206,1.3426546269938159e-05,0.003810903837368852,262
Pareto Front Solution 263,0.4856940251896467,0.9903692504416273,9.271195527861245e-05,0.01903044823237742,263
Pareto Front Solution 264,0.7775902099500724,0.997386551241999,1.8818790865944685e-05,0.0051661435700865845,264
Pareto Front Solution 265,0.2675140793975494,0.975403208240539,0.0003656250083334904,0.04856151573973224,265
Pareto Front Solution 266,0.21037389023314984,0.966535633320359,0.0006027101668945394,0.06603232518462367,266
Pareto Front Solution 267,0.5747442108084615,0.9932556176443773,5.818061317794157e-05,0.013329053803274338,267
Pareto Front Solution 268,0.25059739832759464,0.973186702848898,0.0004195764655306938,0.05293041484516206,268
Pareto Front Solution 269,0.2896713023224789,0.9779249121474934,0.0003085202043797947,0.04358951018137907,269
Pareto Front Solution 270,0.17402596858401534,0.9579933245745881,0.0008851298347968316,0.08284161062248133,270
Pareto Front Solution 271,0.22966914852509343,0.9700074311811437,0.0005031284779338038,0.05919473924549583,271
Pareto Front Solution 272,0.8702106830460169,0.9986379427618749,9.221303108963337e-06,0.0026926270183500376,272
Pareto Front Solution 273,0.8665523009747417,0.9985935442217075,9.543360566651562e-06,0.002780391297242523,273
Pareto Front Solution 274,0.9865059496483982,0.9998790293294355,7.673950351427949e-07,0.00023916014892891768,274
Pareto Front Solution 275,0.014794141882309566,0.597055192305373,0.07532924957958063,0.7429490707120769,275
Pareto Front Solution 276,0.8763042894726524,0.9987110796441129,8.693742095449604e-06,0.0025480536813627724,276
Pareto Front Solution 277,0.09641007511800344,0.9197929918256537,0.00281814101121968,0.15772094149909294,277
Pareto Front Solution 278,0.7698454421844051,0.9972684052149766,1.978067029943372e-05,0.005399655679427874,278
Pareto Front Solution 279,0.8140383274729986,0.9979126630969604,1.4652342261685247e-05,0.004126263758956394,279
Pareto Front Solution 280,0.9892571383597674,0.9999048837151135,6.025395121283684e-07,0.00018804603669122488,280
Pareto Front Solution 281,0.8167951700109728,0.9979505646523187,1.4359555153224732e-05,0.0040513476876080255,281
Pareto Front Solution 282,0.3122542057535116,0.9801356899729785,0.0002621854147925029,0.03922923471161164,282
Pareto Front Solution 283,0.035951324833494884,0.796105147416595,0.017425513653735833,0.39517107940260116,283
Pareto Front Solution 284,0.6121563405127953,0.9942208522767231,4.7925277113989835e-05,0.011422034047224715,284
Pareto Front Solution 285,0.5028138185115968,0.9910023346742041,8.464121011288833e-05,0.017780085165884234,285
Pareto Front Solution 286,0.5402100504055034,0.9922476403569455,6.958074988988156e-05,0.015320303853971073,286
Pareto Front Solution 287,0.14466688286983717,0.9481186569606531,0.0012787163514201285,0.10224535079410046,287
Pareto Front Solution 288,0.42170570276043085,0.9875560399530923,0.00013196268940814156,0.02458554178474346,288
Pareto Front Solution 289,0.8232603154061823,0.9980384621741308,1.368436188316855e-05,0.0038776086287624968,289
Pareto Front Solution 290,0.7795334059075032,0.9974158297938825,1.858190972754272e-05,0.005108274931665488,290
Pareto Front Solution 291,0.7558181203336896,0.9970483172467425,2.1598182374944457e-05,0.0058346452128861526,291
Pareto Front Solution 292,0.8420868877980373,0.9982868027534973,1.1805471801935822e-05,0.0033867276662497923,292
Pareto Front Solution 293,0.693055411204904,0.9959556637787748,3.111661104777316e-05,0.007994052768749463,293
Pareto Front Solution 294,0.18405127998445886,0.9606728058201679,0.000790787099881573,0.0775712902888227,294
Pareto Front Solution 295,0.32802309163488075,0.9815030620901273,0.0002352650282876668,0.036531787337126934,295
Pareto Front Solution 296,0.10548944383711165,0.9269661040435152,0.002369692158536903,0.14370043463371915,296
Pareto Front Solution 297,0.3338454515458261,0.9819760230454094,0.00022626197220056434,0.03559865973651869,297
Pareto Front Solution 298,0.41058480164968864,0.986979324006999,0.0001406937486043735,0.025724127967247195,298
Pareto Front Solution 299,0.5447866480729151,0.9923884644390186,6.794559282311489e-05,0.015042120528452718,299
Pareto Front Solution 300,0.16696491212336353,0.9559215246056859,0.0009617052290224117,0.08691520116127928,300
Pareto Front Solution 301,0.7873854377062635,0.9975326805251434,1.7642404773297608e-05,0.004877319351655577,301
Pareto Front Solution 302,0.6157590496715023,0.9943076875658089,4.7034365074788966e-05,0.011250463171751043,302
Pareto Front Solution 303,0.33604596653066915,0.9821506030842383,0.0002229787664797711,0.035254208590297605,303
Pareto Front Solution 304,0.17196320946798926,0.9574049207121785,0.000906555351524368,0.08399866681547152,304
Pareto Front Solution 305,0.6090366428655696,0.9941448393052777,4.8709445859472664e-05,0.01157222063907208,305
Pareto Front Solution 306,0.1147720350690229,0.9332007811207987,0.0020124877119241107,0.13149819583803662,306
Pareto Front Solution 307,0.3927793804745257,0.9859892647685906,0.00015622701292870996,0.02767858079979008,307
