Solution Type,lambda,f1,f2,f3,Index in Pareto Front
Pareto Front Solution 102,0.010570704889126722,0.5581982416323866,5.6853763371054024e-05,0.0034275471456031124,102
Pareto Front Solution 103,5.453329765667106e-10,3.0373794692314164e-05,0.5756997534158206,0.7562866078127314,103
Pareto Front Solution 104,1.0396121215202521e-07,0.00018519058765571365,0.06532003582590239,0.1303929873423532,104
Pareto Front Solution 105,2.9064116167497605e-10,1.0963589526495298e-05,0.7437376499285917,0.8610426816501693,105
Pareto Front Solution 106,3.322315527682245e-08,4.8788435338214175e-05,0.4362484640983513,0.49313450085660354,106
Pareto Front Solution 107,6.229730507349247e-08,4.9577983427688604e-05,0.4410281717617433,0.4906150360893896,107
Pareto Front Solution 108,1.0122913478045973e-07,0.00010673868290323047,0.1850427132588462,0.24658365993212047,108
Pareto Front Solution 109,0.01575787032337814,0.6547663102230732,3.1996471540056544e-05,0.002805807422056802,109
Pareto Front Solution 110,6.502735481576876e-06,5.459496867000704e-05,0.976535319495114,0.3881687203437804,110
Pareto Front Solution 111,6.10063831536515e-07,1.3321462484401961e-05,0.9523989628420083,0.8104769505767603,111
Pareto Front Solution 112,1.1898978128254907e-06,0.00012622671409711248,0.4269556405480282,0.1537308061091859,112
Pareto Front Solution 113,0.000685140661923127,0.055060375310582346,0.0006915554236204395,0.0014165660769907195,113
Pareto Front Solution 114,3.8792782757297514e-06,3.880479796418306e-06,0.9977206161802583,0.5470016554807073,114
Pareto Front Solution 115,5.179078207657408e-08,0.00010153674735784434,0.19190254549945907,0.26691536466255955,115
Pareto Front Solution 116,1.5142621276770355e-06,1.773122441340084e-05,0.9706800338228826,0.7616068038332117,116
Pareto Front Solution 117,0.009608916209004089,0.5340640555180137,6.557213025574737e-05,0.003584887549892333,117
Pareto Front Solution 118,3.6526636232697576e-08,5.1030928951261195e-05,0.4191111534735296,0.4701182537753075,118
Pareto Front Solution 119,0.0013032784463951677,0.1170743304442505,0.00047554232089949244,0.001669814099803991,119
Pareto Front Solution 120,0.006740081008393607,0.44355567648806166,0.00010249943927472946,0.003956717092506218,120
Pareto Front Solution 121,0.0009676180059020345,0.083925417841131,0.0005738090262046126,0.0015925804767719955,121
Pareto Front Solution 122,5.842977282466666e-08,7.604608895415322e-05,0.28169605130641845,0.3449849642359046,122
Pareto Front Solution 123,5.7058895234512875e-08,7.860729544535095e-05,0.27016788632536853,0.33475417828984,123
Pareto Front Solution 124,4.605082697653802e-07,6.784341211085729e-05,0.6050989538347437,0.3522157380861657,124
Pareto Front Solution 125,0.008538405052545522,0.5039399213875775,7.680164661760016e-05,0.0037401569121815813,125
Pareto Front Solution 126,0.003672996939934817,0.29773652984082105,0.00020230210804674686,0.0038923129505154808,126
Pareto Front Solution 127,0.005773014271690539,0.40460622047977596,0.00012456815032088297,0.004065796401226322,127
Pareto Front Solution 128,6.964039755358517e-07,0.00010369113119872744,0.4491271065502538,0.22057591372318627,128
Pareto Front Solution 129,3.7300661163481394e-08,4.998114918541731e-05,0.4261085834104171,0.47373001953970323,129
Pareto Front Solution 130,9.872147994919898e-07,5.7354340852547596e-05,0.7976428816763279,0.382573787633589,130
Pareto Front Solution 131,2.1142792292765014e-06,0.00013665143124567096,0.5216499620193603,0.12368186017343645,131
Pareto Front Solution 132,3.057735860676497e-08,4.637117147009732e-05,0.45572342996071696,0.5206967059242738,132
Pareto Front Solution 133,0.009946995015897218,0.5428473908945631,6.185011542078565e-05,0.0035160188948743115,133
Pareto Front Solution 134,4.2625073957799853e-07,6.45320933082259e-05,0.6135273596869283,0.3768957420102122,134
Pareto Front Solution 135,0.013011057088808932,0.609545663033104,4.262237641336149e-05,0.0031191096037358726,135
Pareto Front Solution 136,4.0533604109391556e-08,6.371733564676021e-05,0.3411070160506325,0.39504188896476816,136
Pareto Front Solution 137,4.220389805742161e-08,8.203959083693827e-05,0.2574131586741813,0.32275682933963046,137
Pareto Front Solution 138,5.015272969308763e-08,5.7737671501430334e-05,0.3765590670189135,0.4232112902224105,138
Pareto Front Solution 139,1.1797149192107601e-07,0.00011318380341673931,0.17253609731190578,0.22791066248105504,139
Pareto Front Solution 140,0.01635174554966205,0.6631929788334272,3.016550518569384e-05,0.0027421158751164357,140
Pareto Front Solution 141,3.086181757480545e-08,3.499212544388109e-05,0.5483071680860007,0.5958655271273244,141
Pareto Front Solution 142,6.496303141364279e-08,6.0160314904139975e-05,0.369737241158243,0.42679668654209624,142
Pareto Front Solution 143,4.2464144084334764e-08,6.583575848313288e-05,0.32949508564847735,0.3801364933408951,143
Pareto Front Solution 144,0.004737910095898683,0.3563865608875092,0.0001542216111646743,0.004060211243813265,144
Pareto Front Solution 145,0.0026168367448375137,0.22760754341208214,0.00027672676304700626,0.003367786265274903,145
Pareto Front Solution 146,6.437128520870314e-08,8.005197252282159e-05,0.26597815133875746,0.33141338162682543,146
Pareto Front Solution 147,0.002499277150263979,0.21888235549570162,0.00029133888405266406,0.003311518673545099,147
Pareto Front Solution 148,5.384337044376133e-08,7.26215089247123e-05,0.29638660153598545,0.35653605035082947,148
Pareto Front Solution 149,0.007661651679436935,0.4762162628715538,8.733359287018202e-05,0.0038407531142619234,149
Pareto Front Solution 150,1.533209994585576e-10,3.5327808714755874e-06,0.8507159210046836,0.921597585141671,150
Pareto Front Solution 151,6.448561336124962e-11,6.966860351829218e-07,0.92733410755139,0.962635076481154,151
Pareto Front Solution 152,0.014523584311706082,0.6358156864185182,3.582620434285075e-05,0.002924214120635218,152
Pareto Front Solution 153,0.005561983282730268,0.3953878981402122,0.00012885444030426405,0.004058115129586258,153
Pareto Front Solution 154,4.077661939847829e-08,6.399159803240598e-05,0.3395731198642783,0.39310255443557907,154
Pareto Front Solution 155,0.0193346260441984,0.7000640900965562,2.3082911468404675e-05,0.0024625882634127087,155
Pareto Front Solution 156,3.6024251394769965e-08,5.277590717118638e-05,0.4076804361674202,0.4621485381874783,156
Pareto Front Solution 157,2.0101807946871865e-08,0.0004232462054511163,0.009843176140705043,0.07403346878930611,157
Pareto Front Solution 158,4.17845049977854e-08,6.510536415614875e-05,0.3334377384923394,0.3852560671088001,158
Pareto Front Solution 159,4.509852360057337e-08,0.0001761551230207257,0.07929544318896682,0.1605168196042196,159
Pareto Front Solution 160,0.0035686544854902917,0.2914051132675831,0.00020702167987483554,0.0038454656057738384,160
Pareto Front Solution 161,0.009423146323311343,0.5291142112219192,6.709514683039957e-05,0.0036051774379105696,161
Pareto Front Solution 162,0.013270179168688945,0.6143036664759709,4.149331304408365e-05,0.0030905853284594713,162
Pareto Front Solution 163,0.00040310763960056716,0.027065506965560874,0.0008665669069662013,0.0009989085643884784,163
Pareto Front Solution 164,3.239760776408973e-06,2.471656667088479e-05,0.9803502617188629,0.6026259492701146,164
Pareto Front Solution 165,5.416148733691064e-08,7.102720612519627e-05,0.30413020792441736,0.36331533017465606,165
Pareto Front Solution 166,3.7365753373758255e-07,0.00015967651900259528,0.1269863975628318,0.11079110219398357,166
Pareto Front Solution 167,1.8204648831653383e-06,0.00014678982072909792,0.4145459165984129,0.11345364673897039,167
Pareto Front Solution 168,2.9792185928070876e-07,0.00014428609642221842,0.14580030140195877,0.1407439076640199,168
Pareto Front Solution 169,0.0352162007001334,0.8106490981461182,8.459343545117248e-06,0.0015908129701886113,169
Pareto Front Solution 170,1.6302237973593456e-10,3.932680764744922e-06,0.8460000182229023,0.9190092424045351,170
Pareto Front Solution 171,0.012586949435319718,0.6014946485029873,4.430737676325966e-05,0.003157004350421852,171
Pareto Front Solution 172,0.059049412231931206,0.8781530907000075,3.3477384014143147e-06,0.0010332483647727336,172
Pareto Front Solution 173,0.03300828641357832,0.8004077689934308,9.845684993927452e-06,0.0017075186717839673,173
Pareto Front Solution 174,2.540571438037709e-10,8.755593893003425e-06,0.760378388613143,0.8707519344915786,174
Pareto Front Solution 175,4.756280601899908e-08,6.731161817657153e-05,0.3216476374564452,0.37425933315140975,175
Pareto Front Solution 176,1.8833794647968203e-08,2.49633422961564e-05,0.6674044782376888,0.7419652450853432,176
Pareto Front Solution 177,0.0027760425662589467,0.23909860517541795,0.00026250024633490385,0.003478511197214524,177
Pareto Front Solution 178,0.01018114011130766,0.5487191702812791,6.0232836655987325e-05,0.0034926165080579937,178
Pareto Front Solution 179,5.5200760602824146e-08,4.4545633149908344e-05,0.47463110731042923,0.515464333039852,179
Pareto Front Solution 180,0.005411273153082863,0.3885996797868703,0.00013288951587638815,0.004063162855985649,180
Pareto Front Solution 181,0.0749596510161359,0.9015948781394146,2.1486367364007185e-06,0.0008360124605228963,181
Pareto Front Solution 182,5.6838704059329644e-08,7.489482038645752e-05,0.2865011992182738,0.348875728278313,182
Pareto Front Solution 183,4.889129844354464e-08,6.666251136479001e-05,0.32515529508260416,0.3782272573135121,183
Pareto Front Solution 184,3.812935430359042e-08,6.087338637196255e-05,0.3575601881969764,0.41530890309730023,184
Pareto Front Solution 185,0.01867196710939542,0.6925934641942855,2.456174957562778e-05,0.0025272577783092913,185
Pareto Front Solution 186,1.5820253766178267e-06,0.00011161986951071613,0.5880406075510536,0.17321662199204063,186
Pareto Front Solution 187,0.016661850682378986,0.6674680686880519,2.902788567954526e-05,0.002698006237856692,187
Pareto Front Solution 188,1.0146924733085266e-07,0.0001023225568898759,0.19833475602928363,0.258574976454434,188
Pareto Front Solution 189,2.6220728179741512e-06,4.339558983594544e-06,0.9962738483653115,0.6694479464447125,189
Pareto Front Solution 190,0.01974977755147662,0.704579813560685,2.2404260489883903e-05,0.002433382044469305,190
Pareto Front Solution 191,0.006620088585582888,0.43900200620364,0.00010477284306004897,0.00397008577632589,191
Pareto Front Solution 192,1.4314735282740813e-07,0.00014400794621578008,0.11393042281786477,0.16496824344883548,192
Pareto Front Solution 193,0.006453988818221617,0.4325816155058005,0.00010933476079536987,0.004011358914558098,193
Pareto Front Solution 194,3.563694684092415e-10,1.5527453448339907e-05,0.6853192693943699,0.8261383787831165,194
Pareto Front Solution 195,0.0020255788954950497,0.18155872940720694,0.0003434572185460955,0.002863271507105239,195
Pareto Front Solution 196,2.0513111571803946e-06,0.0001534494411883044,0.411487256598557,0.10332306357653735,196
Pareto Front Solution 197,0.008055511271929779,0.4890465501188271,8.286220974811306e-05,0.0038089983667080433,197
Pareto Front Solution 198,1.4965113510735883e-06,0.00011824074853157982,0.5333092423843241,0.16082748071672062,198
Pareto Front Solution 199,4.1878823792855474e-10,1.9919965549840392e-05,0.6687279476190682,0.8158961880019096,199
Pareto Front Solution 200,0.0037902419219734856,0.3047292856778501,0.0001949321385934498,0.003916419890182062,200
Pareto Front Solution 201,0.011728568764616393,0.5841255220476679,4.962635266838052e-05,0.003287528032645344,201
Pareto Front Solution 202,0.021036051450934967,0.717717485779096,2.003519454471938e-05,0.0023209441409924782,202
Pareto Front Solution 203,5.687489405059139e-07,0.00011036277296209511,0.3665522278462442,0.21822450058611087,203
Pareto Front Solution 204,0.0028893473996502873,0.24705685517732132,0.00025595845579934296,0.003567384234330918,204
Pareto Front Solution 205,0.04245116466176768,0.8378879241141349,6.098391475850479e-06,0.0013692047488170515,205
Pareto Front Solution 206,8.946042998356047e-08,0.00012411422074084044,0.14081998220905373,0.2108926941167142,206
Pareto Front Solution 207,3.942238604326805e-08,8.945086711587242e-05,0.23273701766264862,0.3100079316517917,207
Pareto Front Solution 208,0.012049594266668033,0.5908041968325909,4.9406718172187526e-05,0.0033015047313762575,208
Pareto Front Solution 209,0.025973101952607002,0.7588782454636669,1.4307069271849664e-05,0.002011578164109933,209
Pareto Front Solution 210,1.1340361052703301e-07,0.00021462217647961923,0.04735462431499648,0.10682506916567429,210
Pareto Front Solution 211,0.013661601768833647,0.6212814407060127,3.9707700074074996e-05,0.003041705223716289,211
Pareto Front Solution 212,1.9480597482896414e-07,0.00010680485380995479,0.2246104232748649,0.23980377035277592,212
Pareto Front Solution 213,0.0034788123787722483,0.285850389973094,0.0002143698248017645,0.0038300528837428042,213
Pareto Front Solution 214,1.5465575977366836e-06,1.8764071928708255e-05,0.969294216770457,0.7501287250540506,214
