lambda,f1,f2,f3
0.0076813870349417245,0.5096230205198521,2.19209718627046e-06,0.0007360791742235924
6.173950062044005e-08,0.0012127429518073289,0.3619432532697971,0.577920156306861
0.0026143274043847553,0.2688609148027027,7.060053939935245e-06,0.0009009255698321568
5.775114101580125e-08,0.0012183628071907992,0.3649886421929379,0.5758069009006557
1.0738780028969751e-07,0.0023438529276779323,0.15062240862741136,0.37827680013918175
2.488255442077558e-07,0.0035499300357051864,0.06874566591354167,0.2549354000430471
9.602416734716462e-08,0.0011750340533038816,0.3571279260597465,0.6011872867456324
9.007493309626944e-08,0.001490868237385171,0.27918593607182035,0.5220398002264182
8.158471835187012e-08,0.0021031528026873116,0.1848659140086215,0.4148171745990566
3.833955156808966e-07,0.005602671761954885,0.02544559320917214,0.1519384245683457
1.4618571523163112e-05,0.022516484800631325,0.001123868317235675,0.014303693819135285
1.267453826953525e-07,0.0014036000649425785,0.29676313748452854,0.5506491930579261
1.3222474193683905e-06,0.011590927356030383,0.003920741281074418,0.05237985213619387
0.0014172494344094355,0.1731446085427305,1.1445579820790383e-05,0.0008771331044129135
0.013308397833143455,0.6415723470987883,1.01794421680663e-06,0.0005661836065092746
4.821714325816367e-07,0.00914226654929778,0.007625657462211253,0.08135013978718843
1.1394248745363363e-07,0.002431958630518339,0.14118697107967906,0.3660430440780865
1.3222951282112336e-07,0.002510800885198201,0.13202226092309544,0.35559579506977157
7.073631418699579e-08,0.0012625663277169592,0.3412884893292482,0.5679767396532233
0.058373268281374346,0.8869686506517412,8.592170786608996e-08,0.00018761021289724842
8.90604611101775e-08,0.002222655851224583,0.16812808504263652,0.39722139060222983
5.525644955430361e-08,0.001290565668105487,0.3498524393396832,0.5598887374498477
0.01941310283279529,0.7228341965274867,5.751485221532992e-07,0.0004488105933089682
1.0577486150938239e-07,0.0017218448085089563,0.23184341942626438,0.4766735270320008
1.5194455893507788e-07,0.0026573357581916738,0.11896550789984082,0.33844027788851494
0.01299056370412407,0.6360273321352317,1.0553504740164329e-06,0.0005741274421977657
3.526783478735534e-07,0.006205632246856553,0.02012470440461672,0.1358678398052511
0.0027197241544767996,0.27623941513395023,6.820207801176694e-06,0.0009021351068458966
0.015349967632522152,0.6735512255054746,8.181183345570484e-07,0.000519059263508897
8.30353925416859e-08,0.001509932613378911,0.27762663921596514,0.5169893926313271
5.583257961145402e-06,0.025747263863487156,0.00022525054255908544,0.008761232578679104
1.0218652058922867e-07,0.0023023643763091634,0.15586656562853182,0.3845211102807986
6.493513003223713e-08,0.0019028188410056045,0.22248892841540577,0.4475354463828766
1.260899846868063e-06,0.010668835763886391,0.0050013390562794295,0.05968741586617961
1.642824850532382e-07,0.002716521188917101,0.11412838889557489,0.33172816688809187
7.721740478603298e-08,0.0011990665968221533,0.35473735285977903,0.5859706152076255
6.043633508180168e-07,0.007954450945048727,0.010753475485093311,0.09526208835680756
1.1815429511333475e-07,0.0024612711321222508,0.13792559948576236,0.36174340656097836
0.007512176160131225,0.5041568259240053,2.254519730318155e-06,0.0007417508564305033
0.000818249864710492,0.11618716680876513,1.710411013343516e-05,0.0008666637546574698
1.1117237139604526e-06,0.008947739518368381,0.00821347278466112,0.07820786764430412
1.2135689835073034e-07,0.00274236682961838,0.11550329309564844,0.3296788062531027
0.05505725177251299,0.8809655480465785,9.892574576937458e-08,0.00020084601298930754
0.014939151501749705,0.6675754839046861,8.535662029595548e-07,0.0005280719889584551
3.2813930798052354e-07,0.004736235507177106,0.03732897455466681,0.18561325399148776
3.7762098388839524e-07,0.008904040498114,0.008392575287228962,0.08689283171984791
0.027930823957869496,0.7895385887997867,3.191193029356565e-07,0.0003464815438136012
1.88858778257121e-07,0.0034746520463157333,0.07226744677063503,0.2614983020823195
7.3847652991925e-08,0.0020474064921505502,0.19610503579490143,0.4236489776372185
0.00789817150386723,0.5164650761788798,2.112981143795906e-06,0.0007282720848070172
6.665659475493161e-08,0.0019302985964907615,0.21705032386285386,0.4428434930876486
0.014013785627922652,0.6532986924515618,9.41771470255923e-07,0.0005492198079189739
1.5652307224345945e-07,0.0026799000000929264,0.11707670985830121,0.3358682555459382
0.0011873787542493151,0.15197056253080177,1.2890285719940268e-05,0.0008679297980906058
0.007357033079303288,0.49903343409822554,2.315559203722136e-06,0.0007472867473607164
0.004389225326139604,0.375983375433716,4.250536641140085e-06,0.0008702661689429701
0.0049045592362831686,0.4014619532249434,3.7667085197080373e-06,0.0008512410271011298
0.02582054332897124,0.7761783579297645,3.5224686962709684e-07,0.00036157772401660434
