Solution Type,lambda,f1,f2,f3,Index in Pareto Front
Pareto Front Solution 114,0.001164226386603602,0.10720446678817751,0.00042494846437862217,0.0009635831873959251,114
Pareto Front Solution 115,0.0012671772186246138,0.11543638719732709,0.0004162982431684656,0.0010503884650094341,115
Pareto Front Solution 116,0.0026264596197184045,0.2374394746287716,0.00022804150525107398,0.0027442154787830197,116
Pareto Front Solution 117,2.916537768052847e-07,8.09162035052801e-05,0.3383617978200993,0.14269677935333255,117
Pareto Front Solution 118,6.900427391342961e-07,7.280251690339457e-05,0.5560672464068886,0.16654495044074613,118
Pareto Front Solution 119,0.0018798913504087188,0.17595608654748895,0.0003016833475025136,0.002071793885699428,119
Pareto Front Solution 120,5.156458609448411e-08,6.509758746738448e-05,0.32162940303753984,0.3677275165263828,120
Pareto Front Solution 121,7.785307234777913e-07,8.48395253322644e-05,0.48293590841613787,0.1266011128780331,121
Pareto Front Solution 122,8.973117010087714e-07,1.375759706453737e-05,0.9613636614012154,0.698735369177216,122
Pareto Front Solution 123,0.011907314181354248,0.6001427387653464,3.962042019212853e-05,0.0027299483411634003,123
Pareto Front Solution 124,1.3602496631598519e-08,4.944145784978739e-07,0.9931749992004333,0.9955388735294746,124
Pareto Front Solution 125,8.177113047212358e-08,0.00014722058172493893,0.10079142102707765,0.13703182962687085,125
Pareto Front Solution 126,0.028301550672041844,0.7890433988053327,1.0203187619602043e-05,0.0015494993385000955,126
Pareto Front Solution 127,0.00044612755068862235,0.031399467972692066,0.0006940695122057097,0.0004451142451586369,127
Pareto Front Solution 128,0.007042533705341444,0.4657746862105937,8.145269664706964e-05,0.0033211303384473715,128
Pareto Front Solution 129,0.0010873913494494226,0.09731908660104949,0.0004596535397096774,0.0009996535592859985,129
Pareto Front Solution 130,0.07006601428875682,0.9159620534164166,1.932884764330092e-06,0.0006441036293472251,130
Pareto Front Solution 131,2.3647621566207097e-08,1.8965442615055768e-05,0.7314213761911962,0.803399512977708,131
Pareto Front Solution 132,7.565287525663521e-08,7.868813769926073e-05,0.26064102630265873,0.2672703870846412,132
Pareto Front Solution 133,7.034674173866797e-08,8.938862965657915e-05,0.22188069467972807,0.24592881460644203,133
Pareto Front Solution 134,6.348310713701537e-08,0.00023061317358054033,0.04632097731306904,0.09930379421964654,134
Pareto Front Solution 135,0.014398952200885542,0.6459742893939184,3.0395624599493535e-05,0.0024937621639259215,135
Pareto Front Solution 136,0.041815469875292374,0.8503803232707245,5.242675450800205e-06,0.0011238042920715795,136
Pareto Front Solution 137,1.489624056617022e-07,3.1011028590503397e-05,0.6617346445227222,0.45246197998560617,137
Pareto Front Solution 138,4.471193095306057e-08,2.5283362898163053e-05,0.6364408789557444,0.6433216202678349,138
Pareto Front Solution 139,4.432491278721275e-08,0.00012192833059195603,0.15254268376407804,0.24187146664781717,139
Pareto Front Solution 140,1.3883359784274067e-07,5.665251257669096e-05,0.41522610081925665,0.2712223147274882,140
Pareto Front Solution 141,8.661096347584596e-08,4.034891645208571e-05,0.5087432053564744,0.42184482577995813,141
Pareto Front Solution 142,6.97918448957257e-08,5.656043332399855e-05,0.37306239637753824,0.35632612768153277,142
Pareto Front Solution 143,0.04927585487495522,0.8745698736159271,4.249228710336725e-06,0.0009891238190599372,143
Pareto Front Solution 144,0.0019883603083586878,0.1824262429577158,0.0002886603059923818,0.00222280224806101,144
Pareto Front Solution 145,7.980560683319925e-08,9.983306467782191e-05,0.19051903094233835,0.20816624107609036,145
Pareto Front Solution 146,0.01697140301326704,0.6854156287087416,2.325209971587983e-05,0.0022268482574772605,146
Pareto Front Solution 147,8.900289050922922e-08,4.132865475480753e-05,0.5018089396833951,0.410794678666249,147
Pareto Front Solution 148,0.0015538317551807997,0.1434737994955896,0.00034860737408305757,0.0015729587700433487,148
Pareto Front Solution 149,4.4314930673597784e-08,5.619954065651868e-05,0.3781142081520249,0.4398553353064876,149
Pareto Front Solution 150,0.0038908855261405306,0.32297637651493377,0.0001567141765764994,0.0032555104096969175,150
Pareto Front Solution 151,0.006641077276696376,0.45693423190391536,8.608062148159241e-05,0.0033141101344730784,151
Pareto Front Solution 152,6.626520939636443e-08,5.784673822747739e-05,0.3658931806237936,0.358079284663432,152
Pareto Front Solution 153,8.963687776658995e-07,1.9056738523281072e-05,0.9428399579728665,0.6562170385201684,153
Pareto Front Solution 154,0.0007946646141426456,0.06692684196720368,0.0005406739834426401,0.0008485329903522927,154
Pareto Front Solution 155,0.03938127392963229,0.8440499063798574,6.392230706524495e-06,0.0012247415418015295,155
Pareto Front Solution 156,9.180643001815368e-08,5.4406620372346905e-05,0.39938327822513797,0.32863962193966634,156
Pareto Front Solution 157,0.016425590998962625,0.6779190676342609,2.4467527871780027e-05,0.002274013365203713,157
Pareto Front Solution 158,0.10084080521367574,0.9436990661792278,1.0622061438311387e-06,0.00044703901380659447,158
Pareto Front Solution 159,0.005730957176115139,0.41048832798429397,0.0001064498039941025,0.0034683807615938827,159
Pareto Front Solution 160,2.7278055167400625e-06,8.41174480337889e-05,0.808790220244412,0.09717911431582467,160
Pareto Front Solution 161,4.23910616812113e-08,5.404157985320253e-05,0.3928356415718604,0.4592059437275416,161
Pareto Front Solution 162,0.004011925981142729,0.33018249357667534,0.00015185837969163514,0.0032743073845598355,162
Pareto Front Solution 163,0.11310140341883379,0.9502067144112465,7.570805147132318e-07,0.0003734909893701374,163
Pareto Front Solution 164,0.025951699269694047,0.7741907936668244,1.1639136425695348e-05,0.0016376546047685355,164
